id,time(utc timestamp),amount(usd),price,side
0,1617354000424000,37846331135.0,60969.16122024937,Buy
225,1617354060299000,46006281004.99999,60953.906264667676,Buy
431,1617354120318000,30149256080.000008,60925.6069451858,Buy
607,1617354180146000,31866667295.000004,60926.58380226691,Buy
776,1617354240253000,36556619725.0,60902.34131687533,Buy
1017,1617354300042000,32133446155.0,60918.70714655395,Buy
1264,1617354360003000,33671774985.000004,60895.56905913199,Buy
1551,1617354420028000,37733823445.00001,60918.34656999517,Buy
1761,1617354480273000,53341352095.00001,60935.27442261499,Buy
1903,1617354540203000,33823626100.0,60906.02025852482,Buy
2024,1617354600098000,33627984154.999996,60943.03260514415,Buy
2151,1617354660416000,59077105405.0,60986.47511144712,Buy
2324,1617354720684000,37728844045.0,60952.59151437071,Buy
2522,1617354780094000,38736825040.0,60894.060161374844,Buy
2677,1617354840790000,38049533460.0,60885.82460530886,Buy
2930,1617354900097000,18270447365.0,60814.384906052095,Buy
3165,1617354960395000,32066084725.0,60853.25706758358,Buy
3399,1617355020088000,10892927775.0,60907.151055721624,Buy
3573,1617355080041000,35754534570.0,60845.45735698081,Buy
3830,1617355140037000,35839664015.0,60852.6931805326,Buy
3964,1617355200080000,32499934239.999996,60804.838921547285,Buy
4237,1617355260189000,47425076324.99999,60801.06832160335,Buy
4497,1617355320027000,60818888549.99999,60861.461771985,Buy
4717,1617355380690000,39757843025.0,60835.29337622518,Buy
4944,1617355440193000,34418470515.0,60850.43539867938,Buy
5200,1617355500488000,37585872295.0,60937.061396248566,Buy
5333,1617355560027000,36848803165.0,60922.55906821006,Buy
5652,1617355620296000,55352756450.0,60886.51099699368,Buy
5904,1617355680031000,32431696335.0,60896.90869973074,Buy
6110,1617355740099000,32428778745.0,60892.57292725405,Buy
6257,1617355800122000,60892994979.99999,60935.620076486,Buy
6431,1617355860673000,40534612855.0,60931.91792822475,Buy
6735,1617355920033000,37728316155.0,60927.14828264802,Buy
6900,1617355981145000,20070640895.0,60943.95661981582,Buy
7124,1617356040293000,35896721080.0,60946.468925612484,Buy
7307,1617356100071000,42025712285.0,61073.38118443145,Buy
7514,1617356160268000,59032820915.0,61044.66569838435,Buy
7717,1617356220241000,32870496345.0,61037.10395509732,Buy
7900,1617356280780000,19639294249.999996,60990.726363079164,Buy
8030,1617356340337000,19502507065.0,60991.80830034846,Buy
8186,1617356400476000,56588694774.99999,61051.48710187321,Buy
8422,1617356460090000,34861866665.0,61070.05684317812,Buy
8631,1617356520810000,61048144610.00001,61090.87831122701,Buy
8876,1617356580230000,59616253735.00001,61071.79721821621,Buy
9106,1617356640245000,54088044724.99999,61059.17576434937,Buy
9385,1617356700465000,60008459870.00001,61062.88848295643,Buy
9604,1617356760112000,56024442829.99999,61038.27973868371,Buy
9835,1617356820386000,59991319505.0,61062.8327894842,Buy
10059,1617356880054000,39203430325.0,61123.463730625714,Buy
10241,1617356940018000,40518473850.0,61087.513042101695,Buy
10426,1617357000157000,53658766130.00001,61124.13175745721,Buy
10594,1617357060394000,53653828180.0,61129.640517950174,Buy
10735,1617357121099000,31984195195.0,61123.26050652452,Buy
10935,1617357180373000,61028355664.99999,61071.075513965494,Buy
11056,1617357241699000,53529651585.0,61090.40581753949,Buy
11185,1617357300158000,40179338384.99999,61081.43274977895,Buy
11319,1617357360347000,53537843490.00001,61069.110534079955,Buy
11512,1617357420551000,41629222220.0,61076.374383207,Buy
11632,1617357480482000,40915836489.99999,61075.60908656602,Buy
11707,1617357540042000,41583545320.0,61072.933253675,Buy
